0,0002
0,0018
0,0056
0,0121
0,0199
0,0268
0,0408
0,0528
0,0778
0,0858
0,108
0,1277
0,1632
0,1763
0,2195
0,2562
0,2876
0,34
0,3902
0,3944
0,468
0,4972
0,5768
0,581
0,6635
0,7234
0,778
0,8343
0,8986
0,9515
1,0944
1,2023
1,2245
1,2762
1,3562
1,3835
1,5532
1,6364
1,7536
1,9262
2,0777
2,2052
2,0955
2,3211
2,41
2,4412
2,5589
2,8851
2,7562
2,9079
3,0955
3,212
3,3671
3,4734
3,5262
3,657
3,7782
3,9823
3,981
4,1997
4,4633
4,4922
4,6407
4,774
5,0029
5,065
5,2824
5,4899
5,395
5,913
5,7466
5,978
6,225
6,4417
6,818
6,5391
6,763
7,0578
7,1787
7,4892
7,301
7,7451
7,6728
7,9338
8,0788
8,7635
8,5445
10,0237
8,6069
9,2759
9,529
9,3495
9,6611
9,7719
10,0259
10,4162
10,3125
10,4977
10,8071
11,0759
11,537
11,3352
11,8528
11,9273
12,2297
12,3819
12,3256
12,7849
13,1883
16,3362
17,025
14,5974
14,2168
14,6656
14,1197
14,3112
14,4172
14,7442
14,7396
15,2704
16,0162
15,5942
15,834
15,9134
16,3034
16,6156
16,549
17,2124
17,0325
17,2343
17,7689
17,9999
18,2161
18,4381
18,4387
18,9266
19,1036
19,5972
19,5352
20,0292
20,7367
20,3406
21,0139
21,415
21,8564
21,4447
22,2822
21,8785
22,1444
22,5177
22,5337
23,232
23,2028
23,5928
23,7286
23,7647
24,0272
24,5311
24,7515
25,2503
26,535
25,965
26,3231
26,9982
26,6058
26,444
27,2668
28,1587
27,6127
27,8633
28,3497
27,9515
28,576
28,8651
29,2059
30,6554
29,485
30,0832
30,5246
30,8417
31,2324
32,1276
31,7617
32,3601
32,4977
32,7231
39,8338
34,1252
33,886
34,2085
33,9522
33,7436
35,9104
34,7093
35,0642
35,1526
35,9184
35,8466
37,0593
36,6676
